
# IC Group  Range Sigil (RSG)     Kanji  CID-Range                Unicode Block Name

uc0---      u-cjk                 true   0x4e00..0x9fff           CJK Unified Ideographs
uccmp-      u-cjk-cmp             true   0x3300..0x33ff           CJK Compatibility
uccmpf      u-cjk-cmpf            true   0xfe30..0xfe4f           CJK Compatibility Forms
uccmp1      u-cjk-cmpi1           true   0xf900..0xfaff           CJK Compatibility Ideographs
uccmp2      u-cjk-cmpi2           true   0x2f800..0x2fa1f         CJK Compatibility Ideographs Supplement
ucelet      u-cjk-enclett         true   0x3200..0x32ff           Enclosed CJK Letters and Months
ucesup      u-cjk-encsupp         true   0x1f200..0x1f2ff         Enclosed Ideographic Supplement
uckanb      u-cjk-kanbun          true   0x3190..0x319f           Kanbun
ucrad1      u-cjk-rad1            true   0x2f00..0x2fdf           Kangxi Radicals
ucrad2      u-cjk-rad2            true   0x2e80..0x2eff           CJK Radicals Supplement
ucstrk      u-cjk-strk            true   0x31c0..0x31ef           CJK Strokes
ucsym-      u-cjk-sym             true   0x3000..0x303f           CJK Symbols and Punctuation
ucxa--      u-cjk-xa              true   0x3400..0x4dbf           CJK Unified Ideographs Extension A
ucxb--      u-cjk-xb              true   0x20000..0x2a6df         CJK Unified Ideographs Extension B
ucxc--      u-cjk-xc              true   0x2a700..0x2b73f         CJK Unified Ideographs Extension C
ucxd--      u-cjk-xd              true   0x2b740..0x2b81f         CJK Unified Ideographs Extension D
ucxe--      u-cjk-xe              true   0x2b820..0x2ceaf         CJK Unified Ideographs Extension E
ucxf--      u-cjk-xf              true   0x2ceb0..0x2ebef         CJK Unified Ideographs Extension F
uchalf      u-halfull             true   0xff00..0xffef           Halfwidth and Fullwidth Forms
ucsfv-      u-small               true   0xfe50..0xfe6f           Small Form Variants
ucvert      u-vertf               true   0xfe10..0xfe1f           Vertical Forms
u-----      u-abc-pf              false  0xfb00..0xfb4f           Alphabetic Presentation Forms
u-----      u-arab                false  0x600..0x6ff             Arabic
u-----      u-arab-pf-a           false  0xfb50..0xfdff           Arabic Presentation Forms-A
u-----      u-arab-pf-b           false  0xfe70..0xfeff           Arabic Presentation Forms-B
u-----      u-arab-s              false  0x750..0x77f             Arabic Supplement
u-----      u-arrow               false  0x2190..0x21ff           Arrows
u-----      u-arrow-a             false  0x27f0..0x27ff           Supplemental Arrows-A
u-----      u-arrow-b             false  0x2900..0x297f           Supplemental Arrows-B
u-----      u-block               false  0x2580..0x259f           Block Elements
ucbpmf      u-bopo                false  0x3100..0x312f           Bopomofo
